flight,camera_view,dt,detection_id,detection_type,detection_score,rgb_image_name,rgb_left,rgb_right,rgb_top,rgb_bottom,ir_image_name,ir_left,ir_right,ir_top,ir_bottom,rgb_image_path,ir_image_path
fl04,C,20190510_000311.417294,test_kamera_fl04_C_82,ringed_seal,0.723258,test_kotz_2019_fl04_C_20190510_000311.417294_rgb.jpg,3114,3176,3534,3484,test_kotz_2019_fl04_C_20190510_000311.417294_ir.tif,315.49,321.3590000000001,363.045,358.2940000000001,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000311.417294_rgb.jpg,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000311.417294_ir.tif
fl04,C,20190510_000529.416720,test_kamera_fl04_C_303,ringed_seal,0.999502,test_kotz_2019_fl04_C_20190510_000529.416720_rgb.jpg,3136,3210,3746,3682,test_kotz_2019_fl04_C_20190510_000529.416720_ir.tif,317.44,324.447,383.094,377.015,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000529.416720_rgb.jpg,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000529.416720_ir.tif
fl04,C,20190510_000529.416720,test_kamera_fl04_C_304,ringed_seal,0.99879,test_kotz_2019_fl04_C_20190510_000529.416720_rgb.jpg,3276,3345,3756,3695,test_kotz_2019_fl04_C_20190510_000529.416720_ir.tif,330.622,337.157,384.095,378.302,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000529.416720_rgb.jpg,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_000529.416720_ir.tif
fl04,C,20190510_001905.413279,test_kamera_fl04_C_6895,ringed_seal,0.6520560000000001,test_kotz_2019_fl04_C_20190510_001905.413279_rgb.jpg,6288,6316,105,60,test_kotz_2019_fl04_C_20190510_001905.413279_ir.tif,616.461,619.125,40.3119,36.0477,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_001905.413279_rgb.jpg,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_001905.413279_ir.tif
fl04,C,20190510_001910.663404,test_kamera_fl04_C_6976,ringed_pup,1.0,test_kotz_2019_fl04_C_20190510_001910.663404_rgb.jpg,3513,3551,247,193,test_kotz_2019_fl04_C_20190510_001910.663404_ir.tif,354.9790000000001,358.59,52.5781,47.4592,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_001910.663404_rgb.jpg,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_001910.663404_ir.tif
fl04,C,20190510_001910.663404,test_kamera_fl04_C_6977,ringed_seal,0.793489,test_kotz_2019_fl04_C_20190510_001910.663404_rgb.jpg,3494,3571,293,245,test_kotz_2019_fl04_C_20190510_001910.663404_ir.tif,353.162,360.444,56.9335,52.3653,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_001910.663404_rgb.jpg,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_001910.663404_ir.tif
fl04,C,20190510_001916.663413,test_kamera_fl04_C_7051,ringed_seal,0.992048,test_kotz_2019_fl04_C_20190510_001916.663413_rgb.jpg,6110,6168,1757,1685,test_kotz_2019_fl04_C_20190510_001916.663413_ir.tif,598.737,604.243,196.365,189.537,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_001916.663413_rgb.jpg,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_001916.663413_ir.tif
fl04,C,20190510_002013.663165,test_kamera_fl04_C_7499,unknown_seal,1.0,test_kotz_2019_fl04_C_20190510_002013.663165_rgb.jpg,4861,4937,1641,1595,test_kotz_2019_fl04_C_20190510_002013.663165_ir.tif,481.151,488.337,184.89,180.511,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002013.663165_rgb.jpg,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002013.663165_ir.tif
fl04,C,20190510_002155.662560,test_kamera_fl04_C_10402,ringed_seal,0.999411,test_kotz_2019_fl04_C_20190510_002155.662560_rgb.jpg,5007,5049,3418,3354,test_kotz_2019_fl04_C_20190510_002155.662560_ir.tif,493.875,497.86800000000005,352.8640000000001,346.7990000000001,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002155.662560_rgb.jpg,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002155.662560_ir.tif
fl04,C,20190510_002155.662560,test_kamera_fl04_C_10403,ringed_seal,0.964399,test_kotz_2019_fl04_C_20190510_002155.662560_rgb.jpg,5875,5920,235,154,test_kotz_2019_fl04_C_20190510_002155.662560_ir.tif,577.482,581.768,52.4318,44.7585,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002155.662560_rgb.jpg,Images/fl04/CENT/test_kotz_2019_fl04_C_20190510_002155.662560_ir.tif
